n,V,A
0,0.0000,0.0000
1,0.0195,-0.0977
2,0.0293,0.0000
3,0.0391,0.0488
4,0.0537,0.0000
5,0.0732,-0.0488
6,0.0879,0.0000
7,0.1074,0.0000
8,0.1270,0.0000
9,0.1465,0.0000
10,0.1709,-0.0977
11,0.1807,0.0000
12,0.2051,-0.0488
13,0.2197,0.0000
14,0.2393,0.0000
15,0.2588,0.0000
16,0.2783,0.0000
17,0.2979,0.0000
18,0.3174,0.2930
19,0.3662,-0.3906
20,0.3516,0.0000
21,0.3711,0.0000
22,0.3906,0.0000
23,0.4150,-0.0488
24,0.4297,0.0488
25,0.4541,0.0000
26,0.4736,0.0000
27,0.4932,0.1953
28,0.5322,-0.2441
29,0.5273,0.0000
30,0.5469,0.0000
31,0.5664,0.0000
32,0.5859,0.0000
33,0.6055,0.0000
34,0.6250,0.0000
35,0.6445,0.2930
36,0.6885,-0.3418
37,0.6738,0.0488
38,0.6982,0.0000
39,0.7178,0.0000
40,0.7373,0.0488
41,0.7568,0.0488
42,0.7764,0.0488
43,0.7959,0.3418
44,0.8496,-0.1465
45,0.8545,-0.2930
46,0.8447,0.0488
47,0.8691,0.0000
48,0.8887,0.0488
49,0.9131,-0.0488
50,0.9326,0.0000
51,0.9521,0.0000
52,0.9717,0.1953
53,1.0107,-0.0488
54,1.0254,-0.1953
55,1.0205,0.0000
56,1.0400,0.0488
57,1.0645,0.0000
58,1.0840,0.0000
59,1.1035,0.0000
60,1.1230,0.2930
61,1.1719,-0.0977
62,1.1816,-0.2930
63,1.1719,0.0000
64,1.1963,0.0000
65,1.2207,-0.0488
66,1.2354,0.0000
67,1.2549,0.0488
68,1.2744,0.0977
69,1.3330,-0.0977
70,1.3379,-0.0488
71,1.3525,-0.2441
72,1.3477,0.0488
73,1.3672,0.0488
74,1.3916,0.0000
75,1.4111,0.0000
76,1.4307,0.0488
77,1.4551,0.2441
78,1.4990,-0.0488
79,1.5137,-0.0977
80,1.5283,-0.2441
81,1.5234,0.0000
82,1.5430,0.0000
83,1.5625,0.0488
84,1.5869,0.0000
85,1.6064,0.2930
86,1.6553,-0.0488
87,1.6699,-0.0488
88,1.6797,-0.2441
89,1.6699,0.0488
90,1.6895,0.0488
91,1.7090,0.0488
92,1.7285,0.0488
93,1.7432,0.0977
94,1.7578,0.3418
95,1.7920,0.0977
96,1.7969,0.0977
97,1.8018,-0.0977
98,1.7822,0.2441
99,1.7920,0.2930
100,1.7969,0.3418
101,1.8066,0.3906
102,1.8115,0.7324
103,1.8457,0.4395
104,1.8457,0.4883
105,1.8506,0.4395
106,1.8506,0.2930
107,1.8311,0.5859
108,1.8408,0.5859
109,1.8408,0.7324
110,1.8457,0.7813
111,1.8750,0.8301
112,1.8750,0.8789
113,1.8750,0.8789
114,1.8799,0.6348
115,1.8555,0.9766
116,1.8604,1.0254
117,1.8652,1.1230
118,1.8652,1.2207
119,1.8701,1.4648
120,1.8945,1.2695
121,1.8945,1.3184
122,1.8994,1.3184
123,1.8994,1.1230
124,1.8750,1.4648
125,1.8799,1.5137
126,1.8848,1.5625
127,1.8848,1.9531
128,1.9141,1.6602
129,1.9141,1.7090
130,1.9141,1.7578
131,1.9189,1.7578
132,1.9141,1.6113
133,1.8945,1.9043
134,1.8945,2.0020
135,1.8994,2.0508
136,1.9043,2.3438
137,1.9287,2.1484
138,1.9287,2.1973
139,1.9287,2.1973
140,1.9287,2.0020
141,1.9043,2.3438
142,1.9092,2.3926
143,1.9141,2.4414
144,1.9141,2.8320
145,1.9385,2.5879
146,1.9385,2.6367
147,1.9434,2.6367
148,1.9434,2.6367
149,1.9434,2.4414
150,1.9238,2.7344
151,1.9238,2.8320
152,1.9238,2.9785
153,1.9531,2.9785
154,1.9531,3.0273
155,1.9531,3.0762
156,1.9531,3.1250
157,1.9531,3.1250
158,1.9531,2.9785
159,1.9336,3.2715
160,1.9385,3.3203
