n,V,A
0,0.0000,0.0000
1,0.0000,0.0000
2,0.0146,0.0000
3,0.0293,0.0000
4,0.0488,0.0000
5,0.0684,0.0488
6,0.0879,0.0488
7,0.1074,0.0000
8,0.1270,0.0000
9,0.1465,0.0000
10,0.1660,0.0000
11,0.1855,0.2441
12,0.2246,-0.2930
13,0.2148,0.0488
14,0.2393,0.0000
15,0.2588,0.0000
16,0.2783,0.0000
17,0.2979,0.0000
18,0.3174,0.0000
19,0.3369,0.0000
20,0.3564,0.1953
21,0.3955,-0.1953
22,0.3955,-0.0488
23,0.4102,0.0488
24,0.4297,0.0000
25,0.4541,0.0000
26,0.4688,0.0488
27,0.4883,0.0488
28,0.5078,0.2441
29,0.5518,-0.3418
30,0.5420,0.0000
31,0.5615,0.0488
32,0.5811,0.0488
33,0.6055,0.0000
34,0.6201,0.0488
35,0.6396,0.0488
36,0.6641,0.0488
37,0.6836,0.1465
38,0.7129,-0.1953
39,0.7129,0.0488
40,0.7324,0.0488
41,0.7568,0.0000
42,0.7764,0.0000
43,0.7959,0.0488
44,0.8203,0.0000
45,0.8350,0.1953
46,0.8740,-0.0977
47,0.8887,-0.1953
48,0.8887,0.0000
49,0.9082,0.0488
50,0.9277,0.0488
51,0.9473,0.0488
52,0.9717,0.0488
53,0.9912,0.2930
54,1.0352,-0.0977
55,1.0449,-0.2930
56,1.0400,0.0000
57,1.0596,0.0000
58,1.0791,0.0488
59,1.1035,0.0000
60,1.1230,0.0000
61,1.1426,0.0488
62,1.1670,0.1465
63,1.2012,-0.0488
64,1.2158,-0.2441
65,1.2109,0.0488
66,1.2354,0.0000
67,1.2549,0.0000
68,1.2744,0.0488
69,1.2988,0.0000
70,1.3184,0.2441
71,1.3623,-0.0977
72,1.3721,-0.0488
73,1.3867,-0.1953
74,1.3916,-0.0488
75,1.4062,0.0000
76,1.4258,0.0488
77,1.4502,0.0000
78,1.4746,0.0000
79,1.4941,0.1465
80,1.5283,-0.0488
81,1.5381,-0.2441
82,1.5283,0.0488
83,1.5479,0.0488
84,1.5576,0.1465
85,1.5723,0.1465
86,1.5869,0.1465
87,1.5967,0.3906
88,1.6260,0.1465
89,1.6260,0.1953
90,1.6309,0.0488
91,1.6162,0.3418
92,1.6211,0.3906
93,1.6309,0.4395
94,1.6357,0.4883
95,1.6406,0.7813
96,1.6699,0.4883
97,1.6699,0.5371
